slug,url,other_url
2024-07-02-ds-cr-TNO,https://esciencecenter-digital-skills.github.io/2024-07-02-ds-cr-TNO/,
2024-07-30-ds-git-Erasmus MC,https://esciencecenter-digital-skills.github.io/2024-07-30-ds-git-Erasmus MC/,
2024-09-03-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2024-09-03-ds-dl-intro/,
2024-09-16-dc-image-processing,https://esciencecenter-digital-skills.github.io/2024-09-16-dc-image-processing/,
2024-09-18-ds-medical-imaging,https://esciencecenter-digital-skills.github.io/2024-09-18-ds-medical-imaging/,
2024-09-24-ds-intermediate-python,https://esciencecenter-digital-skills.github.io/2024-09-24-ds-intermediate-python/,
2024-10-08-ds-sklearn,https://esciencecenter-digital-skills.github.io/2024-10-08-ds-sklearn/,
2024-10-22-ds-cr,https://esciencecenter-digital-skills.github.io/2024-10-22-ds-cr/,
2024-10-29-ds-git-Radboud,https://esciencecenter-digital-skills.github.io/2024-10-29-ds-git-Radboud/,
2024-11-05-ds-cr-Hybridlabs,https://esciencecenter-digital-skills.github.io/2024-11-05-ds-cr-Hybridlabs/,
2024-11-25-ds-intermediate-python-TNO,https://esciencecenter-digital-skills.github.io/2024-11-25-ds-intermediate-python-TNO/,
2024-11-26-ds-parallel-python,https://esciencecenter-digital-skills.github.io/2024-11-26-ds-parallel-python/,
2024-12-03-ds-GPU,https://esciencecenter-digital-skills.github.io/2024-12-03-ds-GPU/,
2024-12-09-ds-git-WECR,https://esciencecenter-digital-skills.github.io/2024-12-09-ds-git-WECR/,
